fkPLATE_ID,SampleWellThreeCharacter,SampleID,cCopies,cCV
1,A01,M2N_D2_1,1596785,0.310928584
1,A02,M1N_D2_1,5773816,0.134116384
1,A03,F1_D0_3,19067561,0.127973093
1,A04,M2N_D1_1,61863700,0.153295657
1,A05,M1N_D0_2,217705157,0.152695719
1,A06,M2F_D0_4,199563228,0.302461814
1,A07,M3N_D2_1,1901696,0.053450451
1,A08,M2F_D0_2,90081417,0.328920828
1,A09,F3_D2_2,84215704,0.389220684
1,A10,T1_D0_1,687679,0.699268207
1,A11,M2F_D1_4,44504666,0.162668581
1,A12,F1_D0_2,8898154,0.111966292
1,B01,F2_D2_4,1314673,0.428697737
1,B02,F1_D0_1,24493391,0.099656432
1,B03,M1F_D1_1,47121745,0.191993498
1,B04,F3_D1_1,4279222,0.130342606
1,B05,M1N_D1_2,39701055,0.195236372
1,B06,M3N_D2_2,2956350,0.11704835
1,B07,M3F_D0_2,47406323,0.233624671
1,B08,M1F_D0_2,49407987,0.154624846
1,B09,M1N_D1_1,31180816,0.195835082
1,B10,M3N_D0_2,112581527,0.310407268
1,B11,M2N_D0_3,424807387,0.304008054
1,B12,F2_D0_3,236419099,0.109911416
1,C01,F2_D2_2,1495039,0.311057287
1,C02,M2F_D2_2,7643233,0.16412739
1,C03,M1N_D1_3,33742625,0.240321175
1,C04,M1N_D2_4,7744146,0.149917248
1,C05,M2F_D2_1,5479723,0.216708091
1,C06,F1_D2_3,230499,0.411218968
1,C07,T1_D0_2,5660729,0.071688726
1,C08,F2_D0_4,19978028,0.097574664
1,C09,F2_D0_2,26530225,0.16644607
1,C10,F2_D2_1,,
1,C11,M1N_D2_2,8326856,0.156191
1,C12,M2N_D2_4,4918402,0.007483134
1,D01,M2N_D1_4,49482784,0.204837288
1,D02,M3F_D0_1,460358780,0.097138113
1,D03,M2F_D2_4,7141378,0.132577965
1,D04,M2N_D1_2,50040524,0.170536035
1,D05,F2_D0_1,201471336,0.108573901
1,D06,F2_D1_4,8823467,0.116707114
1,D07,F1_D2_4,292137,0.343185607
1,D08,F3_D2_1,,
1,D09,F1_D1_1,2802958,0.175153812
1,D10,M1F_D2_3,2017477,0.199295949
1,D11,M1F_D2_4,2933430,0.12486523
1,D12,M2F_D1_2,118853922,0.376092097
1,E01,,,
1,E02,,,
1,E03,,,
1,E04,,,
1,E05,,,
1,E06,,,
1,E07,,,
1,E08,,,
1,E09,,,
1,E10,,,
1,E11,,,
1,E12,,,
1,F01,,,
1,F02,,,
1,F03,,,
1,F04,,,
1,F05,,,
1,F06,,,
1,F07,,,
1,F08,,,
1,F09,,,
1,F10,,,
1,F11,,,
1,F12,,,
1,G01,,,
1,G02,,,
1,G03,,,
1,G04,,,
1,G05,,,
1,G06,,,
1,G07,,,
1,G08,,,
1,G09,,,
1,G10,,,
1,G11,,,
1,G12,,,
1,H01,,,
1,H02,,,
1,H03,,,
1,H04,,,
1,H05,,,
1,H06,,,
1,H07,,,
1,H08,,,
1,H09,,,
1,H10,,,
1,H11,,120517,
1,H12,,,
