Sample_ID	Read_Depth	Reads_Mapping	Reads_Genus_Level	Reads_Species_Level	Reads_Strain_Level	Reads_KOs
M2F.D1.4	5591474	4701649	4558620	3699358	540823	1739498
M1N.D1.3	8107141	7152034	6931822	5750364	1048195	3012255
M2N.D1.3	6921734	6084180	5906041	4808529	721554	2338464
M1F.D1.4	7769827	6981815	6749318	5729913	973115	2697990
F2.D1.2	5980550	5126819	4908669	4536200	710649	1902816
F1.D2.2	48082	30190	29320	23567	3194	10264
F2.D2.1	556926	428184	411748	377864	70806	142859
F1.D1.1	3323622	2664046	2584772	2101211	254538	954964
T1.D0.4	8984475	6505058	6499442	6499077	6497400	3564270
M1N.D1.1	8616898	7681519	7452460	6156187	1104747	3254059
M1F.D0.2	5599816	4399440	4253470	3564246	653670	1667275
M1N.D2.2	7236887	6192293	5987635	5068456	948033	2336581
F2.D0.4	9154782	7795372	7476862	6905756	1218021	2718442
M3N.D2.2	4335573	3482403	3356058	2868028	703440	1337025
M3F.D0.2	6194551	5253820	5075683	4306905	940690	1992017
F3.D1.1	4957078	3931887	3821153	3393417	856094	1133824
M2N.D1.1	6094645	5360809	5209581	4227809	621826	2058947
F1.D1.3	2904362	2252958	2185562	1770753	210504	805552
M3N.D1.1	9905831	8947487	8636904	7367270	1730716	3667542
F3.D2.2	4656137	3664197	3555260	2855338	404607	1356886
M2F.D0.2	4200763	3224552	3129587	2509666	356941	1189307
M2N.D2.2	5693314	4621275	4476161	3616869	516120	1749708
M1F.D0.4	5255727	4441501	4298709	3612682	680569	1715845
M1N.D2.4	4092656	3814320	3690607	3142117	550694	1502254
M2N.D0.3	5290741	4466359	4310977	3711471	922132	1694142
M2F.D2.3	5952867	4943662	4796817	3870427	549640	1957989
F2.D0.2	6306828	5178957	4979513	4607354	801536	1824256
F1.D0.1	9143104	8152278	7926834	6455658	742888	2917033
M1N.D0.3	6427607	5474606	5292610	4458494	858138	2242994
M1F.D2.3	2172356	1714205	1660135	1360663	247837	715886
M2F.D0.4	1053907	820624	797955	639383	91037	310082
M2N.D2.4	5897033	5038796	4891761	3954988	556708	1874241
M2F.D2.1	5574788	5142161	4998727	4066099	620856	1947605
M2N.D0.1	7423613	6740984	6540060	5412181	885533	2515658
F3.D0.1	5589847	4767490	4636169	4126273	1029517	1372118
M3N.D0.1	5713563	4814243	4643143	3984767	963618	1898198
M3F.D2.1	312964	232982	224908	190788	49401	87110
F1.D0.3	5754715	4899245	4761356	3872433	446680	1755936
M2F.D1.2	4658855	3829762	3698346	3126599	582575	1476774
M1F.D2.1	3721038	2962509	2866719	2344160	409658	1305204
M1N.D0.1	9319772	8486338	8220541	6955040	1349288	3417057
T1.D0.2	13062534	9413809	9406177	9405169	9400706	5089789
M1F.D1.2	6980881	6168087	5954089	5056121	898374	2376509
F1.D2.4	161897	113669	110332	89027	12517	38382
F2.D1.4	6433943	5572955	5343361	4932203	855546	1974955
M1F.D1.1	7256416	6356963	6156129	5144641	965856	2618492
T1.D0.1	402541	250229	243361	216375	56116	71774
F2.D2.4	1147633	885222	850203	782407	139093	310027
F1.D1.4	603241	479587	464564	382357	46671	174369
M1N.D0.2	5916083	4950346	4784570	4050907	769127	1918885
M1F.D2.2	3817919	3025632	2918785	2460712	476388	1189042
M2F.D1.1	5826552	4928724	4781240	3887406	588155	1908274
M3N.D0.2	6256568	5173973	4989898	4262748	935874	1954194
M2F.D2.2	10001141	9014570	8746696	7127453	1033579	3373831
F3.D0.2	2638823	2019729	1955015	1743394	498380	584379
F2.D0.3	6737389	5737865	5519385	5086601	907412	1956400
M3F.D1.1	5507847	4478082	4319337	3692774	924296	1763687
M1F.D1.3	8641360	7945483	7684353	6416495	1085665	3569321
M2N.D1.4	7652743	6778998	6578297	5341051	756629	2486465
T1.D0.3	15283891	11359660	11350829	11350493	11348924	6103413
F1.D0.2	4467670	3241880	3137143	2569187	320720	1167716
M1N.D1.4	8593652	7704043	7448487	6320178	1093106	2939019
M2F.D1.3	8216853	7273362	7049565	5780806	891480	2843047
F2.D0.1	11055137	9929414	9541037	8825933	1479640	3546913
F3.D2.1	77464	54496	53078	46737	12325	14811
M2N.D2.1	1719314	1345681	1305908	1050154	158518	506923
M2F.D0.1	4618466	3913171	3792108	3140977	542820	1480092
M3N.D1.2	3908574	3316427	3183558	2717037	554945	1344406
F3.D1.2	2796358	2132567	2070988	1856756	492098	612109
M2N.D1.2	8112392	7230570	7018508	5705923	801795	2657516
F1.D2.3	268021	206236	200648	162832	20623	71441
M3F.D0.1	5634357	4781539	4621407	4001805	1024920	1832276
F2.D1.3	8331926	7024826	6746878	6217185	1009347	2524672
M3N.D2.1	3117998	2422114	2338703	1973951	462325	954593
M1N.D2.1	5971785	5107064	4948609	4079142	738259	2193977
M1F.D0.1	3790770	3188233	3079604	2594384	489027	1355756
M1N.D1.2	7208806	6262152	6056781	5124504	912860	2350836
F1.D1.2	1862742	1494924	1446347	1178925	144734	537190
F2.D2.2	1452843	920219	883615	809391	143044	318044
M2F.D0.3	6981645	5976744	5789418	4806358	804921	2289675
M2N.D2.3	3212898	2510409	2433728	1957641	283019	986261
M1N.D0.4	1113787	1036075	1000914	853829	162194	423808
M1F.D2.4	3722293	2934057	2832769	2387959	486307	1135510
F1.D2.1	281202	213318	206953	168211	20405	75209
F2.D1.1	6621021	5900989	5666170	5229510	848650	2135920
M2N.D0.4	3529736	2952453	2862936	2329148	333074	1119097
M2F.D2.4	7930346	6981668	6771159	5501566	809904	2600227
M1F.D0.3	5888808	5151024	4981717	4220961	834214	2115671
M1N.D2.3	41586	35751	34458	29158	6920	15720
