row,column,well,dna_sample_id,specimen_name,mixture,feces_added,specimen_base_id,specimen_type,dilution_power,dilution_label,dilution_factor,aliquot_number,extraction_protocol
B,2,B2,F1-D0-1,F1-D0,,,F1,Fecal,0,D0,1,1,1
A,12,A12,F1-D0-2,F1-D0,,,F1,Fecal,0,D0,1,2,2
A,3,A3,F1-D0-3,F1-D0,,,F1,Fecal,0,D0,1,3,1
G,5,G5,F1-D0-4,F1-D0,,,F1,Fecal,0,D0,1,4,2
D,9,D9,F1-D1-1,F1-D1,,,F1,Fecal,1,D1,10,1,1
H,7,H7,F1-D1-2,F1-D1,,,F1,Fecal,1,D1,10,2,2
H,4,H4,F1-D1-3,F1-D1,,,F1,Fecal,1,D1,10,3,1
E,1,E1,F1-D1-4,F1-D1,,,F1,Fecal,1,D1,10,4,2
H,6,H6,F1-D2-1,F1-D2,,,F1,Fecal,2,D2,100,1,1
E,2,E2,F1-D2-2,F1-D2,,,F1,Fecal,2,D2,100,2,2
C,6,C6,F1-D2-3,F1-D2,,,F1,Fecal,2,D2,100,3,1
D,7,D7,F1-D2-4,F1-D2,,,F1,Fecal,2,D2,100,4,2
D,5,D5,F2-D0-1,F2-D0,,,F2,Fecal,0,D0,1,1,1
C,9,C9,F2-D0-2,F2-D0,,,F2,Fecal,0,D0,1,2,2
B,12,B12,F2-D0-3,F2-D0,,,F2,Fecal,0,D0,1,3,1
C,8,C8,F2-D0-4,F2-D0,,,F2,Fecal,0,D0,1,4,2
G,9,G9,F2-D1-1,F2-D1,,,F2,Fecal,1,D1,10,1,1
H,10,H10,F2-D1-2,F2-D1,,,F2,Fecal,1,D1,10,2,2
H,8,H8,F2-D1-3,F2-D1,,,F2,Fecal,1,D1,10,3,1
D,6,D6,F2-D1-4,F2-D1,,,F2,Fecal,1,D1,10,4,2
C,10,C10,F2-D2-1,F2-D2,,,F2,Fecal,2,D2,100,1,1
C,1,C1,F2-D2-2,F2-D2,,,F2,Fecal,2,D2,100,2,2
E,12,E12,F2-D2-3,F2-D2,,,F2,Fecal,2,D2,100,3,1
B,1,B1,F2-D2-4,F2-D2,,,F2,Fecal,2,D2,100,4,2
G,2,G2,F3-D0-1,F3-D0,,,F3,Fecal,0,D0,1,1,1
E,8,E8,F3-D0-2,F3-D0,,,F3,Fecal,0,D0,1,2,2
B,4,B4,F3-D1-1,F3-D1,,,F3,Fecal,1,D1,10,1,1
G,11,G11,F3-D1-2,F3-D1,,,F3,Fecal,1,D1,10,2,2
D,8,D8,F3-D2-1,F3-D2,,,F3,Fecal,2,D2,100,1,1
A,9,A9,F3-D2-2,F3-D2,,,F3,Fecal,2,D2,100,2,2
G,8,G8,M1F-D0-1,M1F-D0,M1,TRUE,M1F,Mock in feces,0,D0,1,1,1
B,8,B8,M1F-D0-2,M1F-D0,M1,TRUE,M1F,Mock in feces,0,D0,1,2,2
H,2,H2,M1F-D0-3,M1F-D0,M1,TRUE,M1F,Mock in feces,0,D0,1,3,1
E,3,E3,M1F-D0-4,M1F-D0,M1,TRUE,M1F,Mock in feces,0,D0,1,4,2
B,3,B3,M1F-D1-1,M1F-D1,M1,TRUE,M1F,Mock in feces,1,D1,10,1,1
G,6,G6,M1F-D1-2,M1F-D1,M1,TRUE,M1F,Mock in feces,1,D1,10,2,2
H,1,H1,M1F-D1-3,M1F-D1,M1,TRUE,M1F,Mock in feces,1,D1,10,3,1
H,3,H3,M1F-D1-4,M1F-D1,M1,TRUE,M1F,Mock in feces,1,D1,10,4,2
G,10,G10,M1F-D2-1,M1F-D2,M1,TRUE,M1F,Mock in feces,2,D2,100,1,1
