dna_sample_id,well,A2,A1,S2,S1
1_1,C4,TRUE,TRUE,TRUE,TRUE
1_2,F9,TRUE,TRUE,TRUE,TRUE
1_3,H11,TRUE,FALSE,FALSE,FALSE
1_4,H12,TRUE,FALSE,FALSE,FALSE
2_1,G7,TRUE,TRUE,TRUE,TRUE
2_2,E5,TRUE,TRUE,TRUE,TRUE
2_3,A3,TRUE,TRUE,TRUE,TRUE
2_4,G3,TRUE,TRUE,TRUE,TRUE
3_1,D10,TRUE,TRUE,TRUE,TRUE
3_2,E12,TRUE,TRUE,TRUE,TRUE
3_3,H3,TRUE,TRUE,TRUE,TRUE
3_4,E10,TRUE,TRUE,TRUE,TRUE
4_1,C7,TRUE,TRUE,TRUE,TRUE
4_2,F5,TRUE,TRUE,TRUE,TRUE
4_3,A2,TRUE,TRUE,TRUE,TRUE
4_4,B11,TRUE,TRUE,TRUE,TRUE
5_1,A1,TRUE,TRUE,TRUE,TRUE
5_2,D1,TRUE,TRUE,TRUE,TRUE
5_3,C3,TRUE,TRUE,TRUE,TRUE
5_4,E2,TRUE,TRUE,TRUE,TRUE
6_1,G1,TRUE,TRUE,TRUE,TRUE
6_2,G6,TRUE,TRUE,TRUE,TRUE
6_3,C10,TRUE,TRUE,TRUE,TRUE
6_4,E1,TRUE,TRUE,TRUE,TRUE
7_1,G12,TRUE,TRUE,TRUE,TRUE
7_2,A5,TRUE,TRUE,TRUE,TRUE
7_3,B3,TRUE,TRUE,TRUE,TRUE
7_4,F3,TRUE,TRUE,TRUE,TRUE
8_1,B10,TRUE,TRUE,TRUE,TRUE
8_2,F6,TRUE,TRUE,TRUE,TRUE
8_3,H5,TRUE,TRUE,TRUE,FALSE
8_4,H8,TRUE,TRUE,TRUE,FALSE
9_1,F12,TRUE,TRUE,TRUE,TRUE
9_2,E3,TRUE,TRUE,TRUE,TRUE
9_3,E8,TRUE,TRUE,TRUE,TRUE
9_4,A11,TRUE,TRUE,TRUE,TRUE
10_1,B4,TRUE,TRUE,TRUE,TRUE
10_2,B2,TRUE,TRUE,TRUE,TRUE
10_3,B9,TRUE,TRUE,TRUE,TRUE
10_4,G4,TRUE,TRUE,TRUE,TRUE
11_1,G11,TRUE,TRUE,TRUE,TRUE
11_2,G5,TRUE,TRUE,TRUE,TRUE
11_3,F10,TRUE,TRUE,TRUE,TRUE
11_4,B1,TRUE,TRUE,TRUE,TRUE
12_1,B8,TRUE,TRUE,TRUE,TRUE
12_2,A12,TRUE,TRUE,TRUE,TRUE
13_1,C9,TRUE,TRUE,TRUE,TRUE
13_2,F4,TRUE,TRUE,TRUE,TRUE
14_1,C6,TRUE,TRUE,TRUE,TRUE
14_2,F1,TRUE,TRUE,TRUE,TRUE
14_3,D7,TRUE,TRUE,TRUE,TRUE
14_4,E7,TRUE,TRUE,TRUE,TRUE
15_1,A8,TRUE,TRUE,TRUE,TRUE
15_2,A10,TRUE,TRUE,TRUE,TRUE
15_3,C12,TRUE,TRUE,TRUE,TRUE
15_4,G8,TRUE,TRUE,TRUE,TRUE
16_1,F2,TRUE,TRUE,TRUE,TRUE
16_2,E9,TRUE,TRUE,TRUE,TRUE
16_3,C2,TRUE,TRUE,TRUE,TRUE
16_4,D2,TRUE,TRUE,TRUE,TRUE
17_1,F8,TRUE,TRUE,TRUE,TRUE
17_2,B5,TRUE,TRUE,TRUE,TRUE
17_3,A4,TRUE,TRUE,TRUE,TRUE
17_4,F11,TRUE,TRUE,TRUE,TRUE
18_1,D12,TRUE,TRUE,TRUE,TRUE
18_2,H2,TRUE,TRUE,TRUE,TRUE
18_3,C8,TRUE,TRUE,TRUE,TRUE
18_4,B12,TRUE,TRUE,TRUE,TRUE
19_1,C1,TRUE,TRUE,TRUE,TRUE
19_2,E6,TRUE,TRUE,TRUE,TRUE
19_3,D9,TRUE,TRUE,TRUE,TRUE
19_4,D6,TRUE,TRUE,TRUE,TRUE
20_1,C5,TRUE,TRUE,TRUE,TRUE
20_2,D5,TRUE,TRUE,TRUE,TRUE
20_3,H10,TRUE,TRUE,TRUE,FALSE
20_4,H6,TRUE,TRUE,TRUE,FALSE
21_1,G10,TRUE,TRUE,TRUE,TRUE
21_2,E11,TRUE,TRUE,TRUE,TRUE
21_3,B6,TRUE,TRUE,TRUE,TRUE
21_4,D3,TRUE,TRUE,TRUE,TRUE
22_1,G9,TRUE,TRUE,TRUE,TRUE
22_2,D11,TRUE,TRUE,TRUE,TRUE
22_3,H4,TRUE,TRUE,TRUE,TRUE
22_4,E4,TRUE,TRUE,TRUE,TRUE
23_1,F7,TRUE,TRUE,TRUE,TRUE
23_2,C11,TRUE,TRUE,TRUE,TRUE
23_3,H9,TRUE,TRUE,TRUE,FALSE
23_4,H7,TRUE,TRUE,TRUE,FALSE
24_1,A9,TRUE,TRUE,TRUE,TRUE
24_2,A6,TRUE,TRUE,TRUE,TRUE
25_1,G2,TRUE,TRUE,TRUE,TRUE
25_2,B7,TRUE,TRUE,TRUE,TRUE
26_1,H1,TRUE,TRUE,TRUE,TRUE
26_2,D4,TRUE,TRUE,TRUE,TRUE
26_3,D8,TRUE,TRUE,TRUE,TRUE
26_4,A7,TRUE,TRUE,TRUE,TRUE
