dna_sample_id,dna_yield
1_2,95.76
1_4,118.52
1_1,27.85
1_3,35.71
2_2,115.87
2_4,99.78
2_1,28.3
2_3,26.09
3_2,80.68
3_4,91.7
3_1,23.8
3_3,29.44
4_2,65.54
4_4,79.7
4_1,15.58
4_3,19.62
5_2,774.03
5_4,807.4
5_1,2190
5_3,2610
6_2,842.33
6_4,620.4
6_1,3230
6_3,2210
7_2,570.73
7_4,674.61
7_1,2330
7_3,2430
8_2,409.27
8_4,467.97
8_1,2180
8_3,1990
9_2,689.06
9_4,594.9
9_1,2150
9_3,2260
10_2,734.01
10_4,732.51
10_1,2130
10_3,2190
11_2,686.57
11_4,635.06
11_1,2240
11_3,1640
12_2,435.71
12_4,384.61
12_1,1760
12_3,1640
13_1,1770
13_2,1360
14_1,92.55
14_3,73.67
14_2,840.1
14_4,757.5
15_1,46.54
15_3,50.21
15_2,648.9
15_4,413.9
16_1,110.3
16_3,114.1
16_2,837.2
16_4,961.1
17_1,991.7
17_3,1030
17_2,583.9
17_4,714.8
18_1,1118
18_3,1119
18_2,812.9
18_4,709.2
19_1,740.6
19_3,768.2
19_2,837.3
19_4,796
20_1,1710
20_3,1670
20_2,926.9
20_4,575.3
21_1,1930
21_3,1990
21_2,1130
21_4,1710
22_1,1720
22_3,1990
22_2,1030
22_4,986.3
23_1,899.9
23_3,822.7
23_2,628.6
23_4,767.1
24_1,1040
24_3,1050
24_2,864.5
24_4,899.2
25_1,28.68
25_2,726.1
26_1,68.54
26_3,17.22
26_2,689.6
26_4,595.4
