Species, Genomic DNA, 16S Only, 16S & 18S, Genome Copy, Cell Number
Pseudomonas aeruginosa, 12, 4.2, 3.6, 6.1, 6.1
Escherichia coli, 12, 10.1, 8.9, 8.5, 8.5
Salmonella enterica, 12, 10.4, 9.1, 8.7, 8.8
Lactobacillus fermentum, 12, 18.4, 16.1, 21.6, 21.9
Enterococcus faecalis, 12, 9.9, 8.7, 14.6, 14.6
Staphylococcus aureus, 12, 15.5, 13.6, 15.2, 15.3
Listeria monocytogenes, 12, 14.1, 12.4, 13.9, 13.9
Bacillus subtilis, 12, 17.4, 15.3, 10.3, 10.3
Saccharomyces cerevisiae, 2, NA, 9.3, 0.57, 0.29
Cryptococcus neoformans, 2, NA, 3.3, 0.37, 0.18
