Well,Row,Column,Sample Name
A1,A,1,M2N_D2_1
B1,B,1,F2_D2_4
C1,C,1,F2_D2_2
D1,D,1,M2N_D1_4
E1,E,1,F1_D1_4
F1,F,1,M2F_D1_1
G1,G,1,T1_D0_4
H1,H,1,M1F_D1_3
A2,A,2,M1N_D2_1
B2,B,2,F1_D0_1
C2,C,2,M2F_D2_2
D2,D,2,M3F_D0_1
E2,E,2,F1_D2_2
F2,F,2,M2F_D0_1
G2,G,2,F3_D0_1
H2,H,2,M1F_D0_3
A3,A,3,F1_D0_3
B3,B,3,M1F_D1_1
C3,C,3,M1N_D1_3
D3,D,3,M2F_D2_4
E3,E,3,M1F_D0_4
F3,F,3,M3F_D2_1
G3,G,3,M1N_D1_4
H3,H,3,M1F_D1_4
A4,A,4,M2N_D1_1
B4,B,4,F3_D1_1
C4,C,4,M1N_D2_4
D4,D,4,M2N_D1_2
E4,E,4,T1_D0_3
F4,F,4,M2N_D0_4
G4,G,4,M1N_D0_3
H4,H,4,F1_D1_3
A5,A,5,M1N_D0_2
B5,B,5,M1N_D1_2
C5,C,5,M2F_D2_1
D5,D,5,F2_D0_1
E5,E,5,M3F_D1_2
F5,F,5,M3F_D2_2
G5,G,5,F1_D0_4
H5,H,5,M3N_D1_2
A6,A,6,M2F_D0_4
B6,B,6,M3N_D2_2
C6,C,6,F1_D2_3
D6,D,6,F2_D1_4
E6,E,6,M2N_D0_1
F6,F,6,M1N_D0_1
G6,G,6,M1F_D1_2
H6,H,6,F1_D2_1
A7,A,7,M3N_D2_1
B7,B,7,M3F_D0_2
C7,C,7,T1_D0_2
D7,D,7,F1_D2_4
E7,E,7,M3F_D1_1
F7,F,7,M2F_D0_3
G7,G,7,M2N_D2_3
H7,H,7,F1_D1_2
A8,A,8,M2F_D0_2
B8,B,8,M1F_D0_2
C8,C,8,F2_D0_4
D8,D,8,F3_D2_1
E8,E,8,F3_D0_2
F8,F,8,M3N_D1_1
G8,G,8,M1F_D0_1
H8,H,8,F2_D1_3
A9,A,9,F3_D2_2
B9,B,9,M1N_D1_1
C9,C,9,F2_D0_2
D9,D,9,F1_D1_1
E9,E,9,M1F_D2_2
F9,F,9,M2N_D2_2
G9,G,9,F2_D1_1
H9,H,9,M1N_D0_4
A10,A,10,T1_D0_1
B10,B,10,M3N_D0_2
C10,C,10,F2_D2_1
D10,D,10,M1F_D2_3
E10,E,10,M3N_D0_1
F10,F,10,M2F_D1_3
G10,G,10,M1F_D2_1
H10,H,10,F2_D1_2
A11,A,11,M2F_D1_4
B11,B,11,M2N_D0_3
C11,C,11,M1N_D2_2
D11,D,11,M1F_D2_4
E11,E,11,M2N_D1_3
F11,F,11,M2F_D2_3
G11,G,11,F3_D1_2
H11,H,11,N1
A12,A,12,F1_D0_2
B12,B,12,F2_D0_3
C12,C,12,M2N_D2_4
D12,D,12,M2F_D1_2
E12,E,12,F2_D2_3
F12,F,12,M2N_D0_2
G12,G,12,M1N_D2_3
H12,H,12,N2
