sample_name,sample_type,plate,well,concentration_ng_per_ul,volume_ul,amount_ng,extraction_method,sample_source,host,sample_description,origin_of_sample_collection,sample_mo_yr,sequencing_type_requested,study_objectives
M2N_D2_1,DNA,1,A01,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D2_4,DNA,1,B01,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D2_2,DNA,1,C01,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D1_4,DNA,1,D01,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D1_4,DNA,1,E01,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D1_1,DNA,1,F01,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
T1_D0_4,DNA,1,G01,NA,20,NA,Qiagen DNeasy,NA,NA,T. mobilis,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D1_3,DNA,1,H01,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D2_1,DNA,1,A02,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D0_1,DNA,1,B02,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D2_2,DNA,1,C02,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3F_D0_1,DNA,1,D02,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D2_2,DNA,1,E02,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D0_1,DNA,1,F02,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F3_D0_1,DNA,1,G02,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D0_3,DNA,1,H02,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D0_3,DNA,1,A03,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D1_1,DNA,1,B03,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D1_3,DNA,1,C03,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D2_4,DNA,1,D03,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D0_4,DNA,1,E03,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3F_D2_1,DNA,1,F03,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D1_4,DNA,1,G03,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1F_D1_4,DNA,1,H03,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D1_1,DNA,1,A04,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F3_D1_1,DNA,1,B04,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D2_4,DNA,1,C04,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D1_2,DNA,1,D04,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
T1_D0_3,DNA,1,E04,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,T. mobilis,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D0_4,DNA,1,F04,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D0_3,DNA,1,G04,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D1_3,DNA,1,H04,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D0_2,DNA,1,A05,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D1_2,DNA,1,B05,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D2_1,DNA,1,C05,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D0_1,DNA,1,D05,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3F_D1_2,DNA,1,E05,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3F_D2_2,DNA,1,F05,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D0_4,DNA,1,G05,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3N_D1_2,DNA,1,H05,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2F_D0_4,DNA,1,A06,NA,20,NA,Qiagen DNeasy,NA,NA,Mock in feces,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M3N_D2_2,DNA,1,B06,NA,20,NA,Qiagen DNeasy,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F1_D2_3,DNA,1,C06,NA,20,NA,Qiagen QIAamp Fast DNA,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
F2_D1_4,DNA,1,D06,NA,20,NA,Qiagen DNeasy,Mouse gut,Mouse,Fecal,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M2N_D0_1,DNA,1,E06,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
M1N_D0_1,DNA,1,F06,NA,20,NA,Qiagen QIAamp Fast DNA,NA,NA,Mock only,NCSU,2021-07-01,WGS,Characterize microbiome measurement bias
