sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A1_2021_F1_D0_1,65860,65448,65403,65379,64343,50975
A1_2021_F1_D0_2,120004,119160,119111,119041,117161,96348
A1_2021_F1_D0_3,101072,100523,100475,100389,99163,78455
A1_2021_F1_D0_4,96217,95597,95525,95512,94257,79125
A1_2021_F1_D1_1,94447,93885,93850,93829,92748,78718
A1_2021_F1_D1_2,157792,156812,156704,156724,155064,135460
A1_2021_F1_D1_3,173485,172460,172364,172323,170470,142631
A1_2021_F1_D1_4,75703,75172,75112,75083,73822,62161
A1_2021_F1_D2_1,112870,112189,112130,112120,111260,100555
A1_2021_F1_D2_2,102538,101786,101743,101727,100721,92204
A1_2021_F1_D2_3,69711,69304,69261,69236,68772,61910
A1_2021_F1_D2_4,95532,94969,94888,94869,94018,84562
A1_2021_F2_D0_1,80056,79630,79579,79542,78315,65200
A1_2021_F2_D0_2,77596,77101,77056,77041,75947,64784
A1_2021_F2_D0_3,60728,60255,59980,60203,59065,51028
A1_2021_F2_D0_4,97630,97042,96983,96971,95959,81704
A1_2021_F2_D1_1,71074,70579,70549,70515,69547,59863
A1_2021_F2_D1_2,159997,159097,159014,158968,157781,139347
A1_2021_F2_D1_3,182685,181698,181499,181510,179573,152123
A1_2021_F2_D1_4,78067,77664,77631,77608,76881,67338
A1_2021_F2_D2_1,94149,93618,93578,93549,93109,89612
A1_2021_F2_D2_2,88819,88251,88176,88181,87122,80066
A1_2021_F2_D2_3,110730,109799,109733,109679,108334,101607
A1_2021_F2_D2_4,77780,77277,77219,77215,76224,69640
A1_2021_F3_D0_1,61959,61529,61486,61441,60141,47842
A1_2021_F3_D0_2,115137,114411,114368,114350,112980,97997
A1_2021_F3_D1_1,87364,86825,86756,86716,85512,73302
A1_2021_F3_D1_2,101706,100938,100879,100809,99441,89774
A1_2021_F3_D2_1,139094,138388,138321,138299,137440,130831
A1_2021_F3_D2_2,122008,121190,120836,121045,119078,97257
A1_2021_M1F_D0_1,48712,48321,48304,48283,47545,38245
A1_2021_M1F_D0_2,75498,74978,74908,74873,73918,58458
A1_2021_M1F_D0_3,88816,88192,88153,88042,86637,70470
A1_2021_M1F_D0_4,59890,59488,59393,59418,58447,45979
