sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A2_1_1,45111,23694,23076,23247,22639,22556
A2_1_2,225636,159307,157884,158604,154855,137754
A2_1_3,236498,146999,145037,146160,142083,133077
A2_1_4,404248,308241,306780,307463,301257,255746
A2_10_1,367,151,143,137,111,101
A2_10_2,367,121,112,119,98,82
A2_10_3,263471,222185,222008,222083,216027,158858
A2_10_4,79135,65178,65040,65100,63733,55184
A2_11_1,311276,265636,265382,265442,258370,195186
A2_11_2,62407,52015,51881,51916,50777,43378
A2_11_3,252074,215087,214881,214976,209168,154211
A2_11_4,504,224,219,217,168,142
A2_12_1,113360,96055,95945,95975,93324,71609
A2_12_2,207,73,62,67,49,49
A2_13_1,159056,123223,122794,123070,122266,122105
A2_13_2,85667,56987,56598,56772,56177,56046
A2_14_1,73151,57732,57510,57600,56995,51809
A2_14_2,41794,30803,30643,30692,30004,26292
A2_14_3,520407,406606,405450,406042,401844,358292
A2_14_4,206442,158475,157944,158207,156064,136208
A2_15_1,71,30,23,24,21,21
A2_15_2,60662,49466,49338,49370,48789,43596
A2_15_3,153805,119225,118673,118820,117108,101495
A2_15_4,127037,101703,101497,101545,100384,90929
A2_16_1,74350,57293,57108,57152,56484,51692
A2_16_2,451279,362456,361660,361972,357133,296825
A2_16_3,48409,38979,38831,38904,38422,34896
A2_16_4,71458,57039,56857,56945,56016,48826
A2_17_1,202270,169149,168956,168975,164195,124956
A2_17_2,293,125,115,113,86,70
A2_17_3,34,14,4,3,0,0
A2_17_4,201994,164750,164615,164623,161027,133774
A2_18_1,547505,460682,459933,460020,447507,317978
A2_18_2,57617,47090,47010,47017,46058,37066
A2_18_3,125231,106985,106852,106875,104296,81547
A2_18_4,188933,154463,154131,154164,150342,109296
A2_19_1,300634,258608,258340,258417,252716,203971
A2_19_2,91125,74174,74022,74060,72467,59083
A2_19_3,161530,126941,126781,126839,126231,126062
A2_19_4,79037,64512,64392,64429,62910,52165
A2_2_1,153301,110070,109281,109597,107800,98236
A2_2_2,82806,65004,64793,64836,63709,56552
A2_2_3,25,6,4,4,4,4
A2_2_4,138620,109541,109164,109314,107587,96528
A2_20_1,84472,72683,72594,72623,70840,57109
A2_20_2,98953,83880,83764,83785,82155,67710
A2_20_3,186115,154194,154031,154026,149023,113560
A2_20_4,70158,56286,56098,56147,54852,43594
A2_21_1,154431,132387,132301,132318,128896,98805
A2_21_2,492568,411941,411209,411503,402625,309100
A2_21_3,708,300,293,291,233,176
A2_21_4,67396,57716,57627,57658,56410,41867
A2_22_1,647252,555492,554748,555039,540854,407957
A2_22_2,239879,198195,197869,197949,193825,148491
A2_22_3,60750,51315,51256,51276,49906,38489
A2_22_4,55270,35320,35258,35215,33960,28235
A2_23_1,226792,188334,188063,188203,182572,140915
A2_23_2,379069,317486,316992,317096,310899,236866
A2_23_3,185426,155823,155613,155654,151525,110914
A2_23_4,145022,117144,116859,116912,114288,89569
A2_24_1,389,254,240,247,227,221
A2_24_2,54,17,7,14,5,5
A2_25_1,130330,101560,101038,101293,99600,92412
A2_25_2,1530,433,421,425,356,317
A2_26_1,40253,31764,31683,31707,31173,28175
A2_26_2,70023,56098,55989,55981,55051,48315
A2_26_3,140218,111612,111247,111369,109625,97675
A2_26_4,126,47,43,42,40,39
A2_3_1,97358,74211,73834,73995,72656,64349
A2_3_2,742247,583392,581976,582711,574330,480010
A2_3_3,81205,61885,61587,61706,60751,55757
A2_3_4,293338,234348,233740,233862,230732,201654
A2_4_1,248184,179639,178124,178932,175083,158515
A2_4_2,55614,43521,43374,43403,42782,38221
A2_4_3,27,9,4,5,3,3
A2_4_4,181141,141750,141329,141481,139182,119213
A2_5_1,72,20,9,12,2,2
A2_5_2,56925,46994,46892,46921,45761,35803
A2_5_3,90816,78924,78853,78872,77086,58533
A2_5_4,68321,55082,54897,54923,53681,40432
A2_6_1,110160,93718,93637,93660,91197,72043
A2_6_2,429090,351309,350677,350942,343925,292232
A2_6_3,79422,68380,68294,68333,66553,46316
A2_6_4,111286,91177,91027,91065,89106,75905
A2_7_1,716592,606632,606062,606206,591870,458974
A2_7_2,36,14,9,9,9,9
A2_7_3,319,115,110,111,93,84
A2_7_4,75767,62166,62033,62061,60639,49810
A2_8_1,73398,61312,61232,61242,59439,43792
A2_8_2,48789,38730,38621,38655,37448,30271
A2_8_3,79014,67164,67083,67125,65423,53390
A2_8_4,165188,134537,134228,134301,131037,104286
A2_9_1,445233,369584,368963,369113,357488,248453
A2_9_2,62260,51973,51851,51882,50797,41601
A2_9_3,128823,110235,110125,110153,107250,80814
A2_9_4,183,54,50,50,40,35
