sample_id,unmapped_reads
S1_1_1,58838
S1_1_2,149775
S1_10_1,204337
S1_10_2,300120
S1_10_3,171512
S1_10_4,286802
S1_11_1,162240
S1_11_2,211600
S1_11_3,141614
S1_11_4,196528
S1_12_1,194040
S1_12_2,213727
S1_13_1,134956
S1_13_2,134234
S1_14_1,408673
S1_14_2,800587
S1_14_3,355081
S1_14_4,755882
S1_15_1,229505
S1_15_2,1187593
S1_15_3,262882
S1_15_4,748990
S1_16_1,350197
S1_16_2,796415
S1_16_3,483508
S1_16_4,910593
S1_17_1,142654
S1_17_2,164553
S1_17_3,161434
S1_17_4,124474
S1_18_1,106762
S1_18_2,207098
S1_18_3,138807
S1_18_4,188660
S1_19_1,192123
S1_19_2,198127
S1_19_3,147794
S1_19_4,161388
S1_2_1,123673
S1_2_2,558430
S1_2_3,123537
S1_2_4,566678
S1_20_1,132014
S1_20_2,222098
S1_21_1,150577
S1_21_2,255985
S1_21_3,161936
S1_21_4,154503
S1_22_1,117343
S1_22_2,165630
S1_22_3,144606
S1_22_4,212358
S1_23_1,148477
S1_23_2,159019
S1_24_1,187454
S1_24_2,215529
S1_25_1,166
S1_25_2,743864
S1_26_1,421284
S1_26_2,1215892
S1_26_3,348150
S1_26_4,966017
S1_3_1,98127
S1_3_2,426637
S1_3_3,89729
S1_3_4,408458
S1_4_1,93672
S1_4_2,522598
S1_4_3,94919
S1_4_4,568364
S1_5_1,165642
S1_5_2,204199
S1_5_3,151477
S1_5_4,203626
S1_6_1,206440
S1_6_2,261324
S1_6_3,165871
S1_6_4,325659
S1_7_1,154472
S1_7_2,175352
S1_7_3,175766
S1_7_4,202051
S1_8_1,182636
S1_8_2,157370
S1_9_1,141180
S1_9_2,290489
S1_9_3,171984
S1_9_4,235627
