sample_id,unmapped_reads,unmapped_pairs
S2_1_1,45954,22977
S2_1_2,30308,15154
S2_10_1,119088,59544
S2_10_2,360616,180308
S2_10_3,47170,23585
S2_10_4,263410,131705
S2_11_1,98042,49021
S2_11_2,181134,90567
S2_11_3,83746,41873
S2_11_4,244174,122087
S2_12_1,66266,33133
S2_12_2,190494,95247
S2_13_1,7968,3984
S2_13_2,11304,5652
S2_14_1,434570,217285
S2_14_2,1289676,644838
S2_14_3,622802,311401
S2_14_4,1388050,694025
S2_15_1,1117870,558935
S2_15_2,3154266,1577133
S2_15_3,1049724,524862
S2_15_4,1135812,567906
S2_16_1,452896,226448
S2_16_2,1254484,627242
S2_16_3,619794,309897
S2_16_4,605302,302651
S2_17_1,58582,29291
S2_17_2,99598,49799
S2_17_3,44092,22046
S2_17_4,193234,96617
S2_18_1,57772,28886
S2_18_2,107224,53612
S2_18_3,35812,17906
S2_18_4,186256,93128
S2_19_1,45274,22637
S2_19_2,98720,49360
S2_19_3,40994,20497
S2_19_4,113336,56668
S2_2_1,830076,415038
S2_2_2,758698,379349
S2_2_3,834960,417480
S2_2_4,795304,397652
S2_20_1,106434,53217
S2_20_2,91930,45965
S2_20_3,35368,17684
S2_20_4,105524,52762
S2_21_1,111258,55629
S2_21_2,451362,225681
S2_21_3,65950,32975
S2_21_4,70148,35074
S2_22_1,79026,39513
S2_22_2,286738,143369
S2_22_3,48180,24090
S2_22_4,160312,80156
S2_23_1,56848,28424
S2_23_2,227514,113757
S2_23_3,67752,33876
S2_23_4,161886,80943
S2_24_1,58350,29175
S2_24_2,162310,81155
S2_25_1,586098,293049
S2_25_2,2874104,1437052
S2_26_1,577390,288695
S2_26_2,1434966,717483
S2_26_3,409060,204530
S2_26_4,1172870,586435
S2_3_1,911858,455929
S2_3_2,2222362,1111181
S2_3_3,340376,170188
S2_3_4,2624552,1312276
S2_4_1,951618,475809
S2_4_2,923100,461550
S2_4_3,901966,450983
S2_4_4,2062540,1031270
S2_5_1,75582,37791
S2_5_2,175504,87752
S2_5_3,77836,38918
S2_5_4,233976,116988
S2_6_1,110896,55448
S2_6_2,219290,109645
S2_6_3,92818,46409
S2_6_4,267884,133942
S2_7_1,97518,48759
S2_7_2,156818,78409
S2_7_3,88348,44174
S2_7_4,97686,48843
S2_8_1,83026,41513
S2_8_2,91072,45536
S2_8_3,74094,37047
S2_8_4,95470,47735
S2_9_1,105608,52804
S2_9_2,278998,139499
S2_9_3,70794,35397
S2_9_4,507262,253631
