dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,volume_pbs,volume_per_aliquot,extraction_protocol,dna_conc,dna_conc_s1,dna_conc_s2,well,row,column,A1,A2,S1,S2
1_1,1,1,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1000,200,1,0.2785,0.08,0.358,C4,C,4,TRUE,TRUE,TRUE,TRUE
1_2,1,2,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1000,200,2,0.9576,0.72,1.55,F9,F,9,TRUE,TRUE,TRUE,TRUE
1_3,1,3,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1000,200,1,0.3571,NA,NA,H11,H,11,FALSE,TRUE,FALSE,FALSE
1_4,1,4,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1000,200,2,1.1852,NA,NA,H12,H,12,FALSE,TRUE,FALSE,FALSE
2_1,2,1,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1000,200,1,0.283,0.08,0.272,G7,G,7,TRUE,TRUE,TRUE,TRUE
2_2,2,2,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1000,200,2,1.1587,0.761,3.2,E5,E,5,TRUE,TRUE,TRUE,TRUE
2_3,2,3,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1000,200,1,0.2609,0.003,0.266,A3,A,3,TRUE,TRUE,TRUE,TRUE
2_4,2,4,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1000,200,2,0.9978,0.531,1.24,G3,G,3,TRUE,TRUE,TRUE,TRUE
3_1,3,1,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1000,200,1,0.238,0.078,0.218,D10,D,10,TRUE,TRUE,TRUE,TRUE
3_2,3,2,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1000,200,2,0.8068,0.554,0.76,E12,E,12,TRUE,TRUE,TRUE,TRUE
3_3,3,3,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1000,200,1,0.2944,0.061,0.332,H3,H,3,TRUE,TRUE,TRUE,TRUE
3_4,3,4,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1000,200,2,0.917,0.616,1.16,E10,E,10,TRUE,TRUE,TRUE,TRUE
4_1,4,1,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,1000,200,1,0.1558,0,0,C7,C,7,TRUE,TRUE,TRUE,TRUE
4_2,4,2,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,1000,200,2,0.6554,0.399,0.312,F5,F,5,TRUE,TRUE,TRUE,TRUE
