sample_id,center_id,dna_sample_id,path_r1,path_r2
A1_1_1,A1,1_1,data/a1/reads/raw/1-1_S28_L001_R1_001.fastq.gz,data/a1/reads/raw/1-1_S28_L001_R2_001.fastq.gz
A1_1_2,A1,1_2,data/a1/reads/raw/1-2_S69_L001_R1_001.fastq.gz,data/a1/reads/raw/1-2_S69_L001_R2_001.fastq.gz
A1_2_1,A1,2_1,data/a1/reads/raw/2-1_S79_L001_R1_001.fastq.gz,data/a1/reads/raw/2-1_S79_L001_R2_001.fastq.gz
A1_2_2,A1,2_2,data/a1/reads/raw/2-2_S53_L001_R1_001.fastq.gz,data/a1/reads/raw/2-2_S53_L001_R2_001.fastq.gz
A1_2_3,A1,2_3,data/a1/reads/raw/2-3_S3_L001_R1_001.fastq.gz,data/a1/reads/raw/2-3_S3_L001_R2_001.fastq.gz
A1_2_4,A1,2_4,data/a1/reads/raw/2-4_S75_L001_R1_001.fastq.gz,data/a1/reads/raw/2-4_S75_L001_R2_001.fastq.gz
A1_3_1,A1,3_1,data/a1/reads/raw/3-1_S46_L001_R1_001.fastq.gz,data/a1/reads/raw/3-1_S46_L001_R2_001.fastq.gz
A1_3_2,A1,3_2,data/a1/reads/raw/3-2_S60_L001_R1_001.fastq.gz,data/a1/reads/raw/3-2_S60_L001_R2_001.fastq.gz
A1_3_3,A1,3_3,data/a1/reads/raw/3-3_S87_L001_R1_001.fastq.gz,data/a1/reads/raw/3-3_S87_L001_R2_001.fastq.gz
A1_3_4,A1,3_4,data/a1/reads/raw/3-4_S58_L001_R1_001.fastq.gz,data/a1/reads/raw/3-4_S58_L001_R2_001.fastq.gz
A1_4_1,A1,4_1,data/a1/reads/raw/4-1_S31_L001_R1_001.fastq.gz,data/a1/reads/raw/4-1_S31_L001_R2_001.fastq.gz
A1_4_2,A1,4_2,data/a1/reads/raw/4-2_S65_L001_R1_001.fastq.gz,data/a1/reads/raw/4-2_S65_L001_R2_001.fastq.gz
A1_4_3,A1,4_3,data/a1/reads/raw/4-3_S2_L001_R1_001.fastq.gz,data/a1/reads/raw/4-3_S2_L001_R2_001.fastq.gz
A1_4_4,A1,4_4,data/a1/reads/raw/4-4_S23_L001_R1_001.fastq.gz,data/a1/reads/raw/4-4_S23_L001_R2_001.fastq.gz
A1_5_1,A1,5_1,data/a1/reads/raw/5-1_S1_L001_R1_001.fastq.gz,data/a1/reads/raw/5-1_S1_L001_R2_001.fastq.gz
A1_5_2,A1,5_2,data/a1/reads/raw/5-2_S37_L001_R1_001.fastq.gz,data/a1/reads/raw/5-2_S37_L001_R2_001.fastq.gz
A1_5_3,A1,5_3,data/a1/reads/raw/5-3_S27_L001_R1_001.fastq.gz,data/a1/reads/raw/5-3_S27_L001_R2_001.fastq.gz
A1_5_4,A1,5_4,data/a1/reads/raw/5-4_S50_L001_R1_001.fastq.gz,data/a1/reads/raw/5-4_S50_L001_R2_001.fastq.gz
A1_6_1,A1,6_1,data/a1/reads/raw/6-1_S73_L001_R1_001.fastq.gz,data/a1/reads/raw/6-1_S73_L001_R2_001.fastq.gz
A1_6_2,A1,6_2,data/a1/reads/raw/6-2_S78_L001_R1_001.fastq.gz,data/a1/reads/raw/6-2_S78_L001_R2_001.fastq.gz
A1_6_3,A1,6_3,data/a1/reads/raw/6-3_S34_L001_R1_001.fastq.gz,data/a1/reads/raw/6-3_S34_L001_R2_001.fastq.gz
A1_6_4,A1,6_4,data/a1/reads/raw/6-4_S49_L001_R1_001.fastq.gz,data/a1/reads/raw/6-4_S49_L001_R2_001.fastq.gz
A1_7_1,A1,7_1,data/a1/reads/raw/7-1_S84_L001_R1_001.fastq.gz,data/a1/reads/raw/7-1_S84_L001_R2_001.fastq.gz
A1_7_2,A1,7_2,data/a1/reads/raw/7-2_S5_L001_R1_001.fastq.gz,data/a1/reads/raw/7-2_S5_L001_R2_001.fastq.gz
A1_7_3,A1,7_3,data/a1/reads/raw/7-3_S15_L001_R1_001.fastq.gz,data/a1/reads/raw/7-3_S15_L001_R2_001.fastq.gz
A1_7_4,A1,7_4,data/a1/reads/raw/7-4_S63_L001_R1_001.fastq.gz,data/a1/reads/raw/7-4_S63_L001_R2_001.fastq.gz
A1_8_1,A1,8_1,data/a1/reads/raw/8-1_S22_L001_R1_001.fastq.gz,data/a1/reads/raw/8-1_S22_L001_R2_001.fastq.gz
A1_8_2,A1,8_2,data/a1/reads/raw/8-2_S66_L001_R1_001.fastq.gz,data/a1/reads/raw/8-2_S66_L001_R2_001.fastq.gz
A1_8_3,A1,8_3,data/a1/reads/raw/8-3_S89_L001_R1_001.fastq.gz,data/a1/reads/raw/8-3_S89_L001_R2_001.fastq.gz
A1_8_4,A1,8_4,data/a1/reads/raw/8-4_S92_L001_R1_001.fastq.gz,data/a1/reads/raw/8-4_S92_L001_R2_001.fastq.gz
A1_9_1,A1,9_1,data/a1/reads/raw/9-1_S72_L001_R1_001.fastq.gz,data/a1/reads/raw/9-1_S72_L001_R2_001.fastq.gz
A1_9_2,A1,9_2,data/a1/reads/raw/9-2_S51_L001_R1_001.fastq.gz,data/a1/reads/raw/9-2_S51_L001_R2_001.fastq.gz
A1_9_3,A1,9_3,data/a1/reads/raw/9-3_S56_L001_R1_001.fastq.gz,data/a1/reads/raw/9-3_S56_L001_R2_001.fastq.gz
A1_9_4,A1,9_4,data/a1/reads/raw/9-4_S11_L001_R1_001.fastq.gz,data/a1/reads/raw/9-4_S11_L001_R2_001.fastq.gz
A1_10_1,A1,10_1,data/a1/reads/raw/10-1_S16_L001_R1_001.fastq.gz,data/a1/reads/raw/10-1_S16_L001_R2_001.fastq.gz
A1_10_2,A1,10_2,data/a1/reads/raw/10-2_S14_L001_R1_001.fastq.gz,data/a1/reads/raw/10-2_S14_L001_R2_001.fastq.gz
A1_10_3,A1,10_3,data/a1/reads/raw/10-3_S21_L001_R1_001.fastq.gz,data/a1/reads/raw/10-3_S21_L001_R2_001.fastq.gz
A1_10_4,A1,10_4,data/a1/reads/raw/10-4_S76_L001_R1_001.fastq.gz,data/a1/reads/raw/10-4_S76_L001_R2_001.fastq.gz
