center_id,dna_sample_id,file,path,read
A1,1_1,1-1_S28_L001_R1_001.fastq.gz,data/a1/reads/raw/1-1_S28_L001_R1_001.fastq.gz,R1
A1,1_1,1-1_S28_L001_R2_001.fastq.gz,data/a1/reads/raw/1-1_S28_L001_R2_001.fastq.gz,R2
A1,1_2,1-2_S69_L001_R1_001.fastq.gz,data/a1/reads/raw/1-2_S69_L001_R1_001.fastq.gz,R1
A1,1_2,1-2_S69_L001_R2_001.fastq.gz,data/a1/reads/raw/1-2_S69_L001_R2_001.fastq.gz,R2
A1,10_1,10-1_S16_L001_R1_001.fastq.gz,data/a1/reads/raw/10-1_S16_L001_R1_001.fastq.gz,R1
A1,10_1,10-1_S16_L001_R2_001.fastq.gz,data/a1/reads/raw/10-1_S16_L001_R2_001.fastq.gz,R2
A1,10_2,10-2_S14_L001_R1_001.fastq.gz,data/a1/reads/raw/10-2_S14_L001_R1_001.fastq.gz,R1
A1,10_2,10-2_S14_L001_R2_001.fastq.gz,data/a1/reads/raw/10-2_S14_L001_R2_001.fastq.gz,R2
A1,10_3,10-3_S21_L001_R1_001.fastq.gz,data/a1/reads/raw/10-3_S21_L001_R1_001.fastq.gz,R1
A1,10_3,10-3_S21_L001_R2_001.fastq.gz,data/a1/reads/raw/10-3_S21_L001_R2_001.fastq.gz,R2
A1,10_4,10-4_S76_L001_R1_001.fastq.gz,data/a1/reads/raw/10-4_S76_L001_R1_001.fastq.gz,R1
A1,10_4,10-4_S76_L001_R2_001.fastq.gz,data/a1/reads/raw/10-4_S76_L001_R2_001.fastq.gz,R2
A1,11_1,11-1_S83_L001_R1_001.fastq.gz,data/a1/reads/raw/11-1_S83_L001_R1_001.fastq.gz,R1
A1,11_1,11-1_S83_L001_R2_001.fastq.gz,data/a1/reads/raw/11-1_S83_L001_R2_001.fastq.gz,R2
A1,11_2,11-2_S77_L001_R1_001.fastq.gz,data/a1/reads/raw/11-2_S77_L001_R1_001.fastq.gz,R1
A1,11_2,11-2_S77_L001_R2_001.fastq.gz,data/a1/reads/raw/11-2_S77_L001_R2_001.fastq.gz,R2
A1,11_3,11-3_S70_L001_R1_001.fastq.gz,data/a1/reads/raw/11-3_S70_L001_R1_001.fastq.gz,R1
A1,11_3,11-3_S70_L001_R2_001.fastq.gz,data/a1/reads/raw/11-3_S70_L001_R2_001.fastq.gz,R2
A1,11_4,11-4_S13_L001_R1_001.fastq.gz,data/a1/reads/raw/11-4_S13_L001_R1_001.fastq.gz,R1
A1,11_4,11-4_S13_L001_R2_001.fastq.gz,data/a1/reads/raw/11-4_S13_L001_R2_001.fastq.gz,R2
A1,12_1,12-1_S20_L001_R1_001.fastq.gz,data/a1/reads/raw/12-1_S20_L001_R1_001.fastq.gz,R1
A1,12_1,12-1_S20_L001_R2_001.fastq.gz,data/a1/reads/raw/12-1_S20_L001_R2_001.fastq.gz,R2
A1,12_2,12-2_S12_L001_R1_001.fastq.gz,data/a1/reads/raw/12-2_S12_L001_R1_001.fastq.gz,R1
A1,12_2,12-2_S12_L001_R2_001.fastq.gz,data/a1/reads/raw/12-2_S12_L001_R2_001.fastq.gz,R2
A1,13_1,13-1_S33_L001_R1_001.fastq.gz,data/a1/reads/raw/13-1_S33_L001_R1_001.fastq.gz,R1
A1,13_1,13-1_S33_L001_R2_001.fastq.gz,data/a1/reads/raw/13-1_S33_L001_R2_001.fastq.gz,R2
A1,13_2,13-2_S64_L001_R1_001.fastq.gz,data/a1/reads/raw/13-2_S64_L001_R1_001.fastq.gz,R1
