sample_id,specimen_id,aliquot_number,specimen_type,host_species,host_sex,batch,number_of_aliquots,protocol,dna_conc,A2,A1,S2,S1,notes,well
1_1,1,1,T. mobilis,"NA","NA",1,4,Protocol 1,0.2785,TRUE,TRUE,TRUE,TRUE,NA,C4
1_2,1,2,T. mobilis,"NA","NA",1,4,Protocol 2,0.9576,TRUE,TRUE,TRUE,TRUE,NA,F9
1_3,1,3,T. mobilis,"NA","NA",1,4,Protocol 1,0.3571,TRUE,FALSE,FALSE,FALSE,A1 requires this well empty,H11
1_4,1,4,T. mobilis,"NA","NA",1,4,Protocol 2,1.1852,TRUE,FALSE,FALSE,FALSE,A1 requires this well empty,H12
2_1,2,1,inoculum,"NA","NA",1,4,Protocol 1,0.283,TRUE,TRUE,TRUE,TRUE,NA,G7
2_2,2,2,inoculum,"NA","NA",1,4,Protocol 2,1.1587,TRUE,TRUE,TRUE,TRUE,NA,E5
2_3,2,3,inoculum,"NA","NA",1,4,Protocol 1,0.2609,TRUE,TRUE,TRUE,TRUE,NA,A3
2_4,2,4,inoculum,"NA","NA",1,4,Protocol 2,0.9978,TRUE,TRUE,TRUE,TRUE,NA,G3
3_1,3,1,inoculum,"NA","NA",1,4,Protocol 1,0.238,TRUE,TRUE,TRUE,TRUE,NA,D10
3_2,3,2,inoculum,"NA","NA",1,4,Protocol 2,0.8068,TRUE,TRUE,TRUE,TRUE,NA,E12
3_3,3,3,inoculum,"NA","NA",1,4,Protocol 1,0.2944,TRUE,TRUE,TRUE,TRUE,NA,H3
3_4,3,4,inoculum,"NA","NA",1,4,Protocol 2,0.917,TRUE,TRUE,TRUE,TRUE,NA,E10
4_1,4,1,inoculum,"NA","NA",1,4,Protocol 1,0.1558,TRUE,TRUE,TRUE,TRUE,NA,C7
4_2,4,2,inoculum,"NA","NA",1,4,Protocol 2,0.6554,TRUE,TRUE,TRUE,TRUE,NA,F5
4_3,4,3,inoculum,"NA","NA",1,4,Protocol 1,0.1962,TRUE,TRUE,TRUE,TRUE,NA,A2
4_4,4,4,inoculum,"NA","NA",1,4,Protocol 2,0.797,TRUE,TRUE,TRUE,TRUE,NA,B12
5_1,5,1,fecal,mouse,female,1,4,Protocol 1,21.9,TRUE,TRUE,TRUE,TRUE,NA,A1
5_2,5,2,fecal,mouse,female,1,4,Protocol 2,7.74029999999999,TRUE,TRUE,TRUE,TRUE,NA,D1
5_3,5,3,fecal,mouse,female,1,4,Protocol 1,26.1,TRUE,TRUE,TRUE,TRUE,NA,C3
5_4,5,4,fecal,mouse,female,1,4,Protocol 2,8.074,TRUE,TRUE,TRUE,TRUE,NA,E2
6_1,6,1,fecal,mouse,female,1,4,Protocol 1,32.3,TRUE,TRUE,TRUE,TRUE,NA,G1
6_2,6,2,fecal,mouse,female,1,4,Protocol 2,8.4233,TRUE,TRUE,TRUE,TRUE,NA,G6
6_3,6,3,fecal,mouse,female,1,4,Protocol 1,22.1,TRUE,TRUE,TRUE,TRUE,NA,C10
6_4,6,4,fecal,mouse,female,1,4,Protocol 2,6.204,TRUE,TRUE,TRUE,TRUE,NA,E1
7_1,7,1,fecal,mouse,female,1,4,Protocol 1,23.3,TRUE,TRUE,TRUE,TRUE,NA,G12
7_2,7,2,fecal,mouse,female,1,4,Protocol 2,5.7073,TRUE,TRUE,TRUE,TRUE,NA,A5
7_3,7,3,fecal,mouse,female,1,4,Protocol 1,24.3,TRUE,TRUE,TRUE,TRUE,NA,B3
7_4,7,4,fecal,mouse,female,1,4,Protocol 2,6.7461,TRUE,TRUE,TRUE,TRUE,NA,F3
8_1,8,1,fecal,mouse,female,1,4,Protocol 1,21.8,TRUE,TRUE,TRUE,TRUE,NA,B10
8_2,8,2,fecal,mouse,female,1,4,Protocol 2,4.0927,TRUE,TRUE,TRUE,TRUE,NA,F6
8_3,8,3,fecal,mouse,female,1,4,Protocol 1,19.9,TRUE,TRUE,TRUE,FALSE,NA,H5
8_4,8,4,fecal,mouse,female,1,4,Protocol 2,4.6797,TRUE,TRUE,TRUE,FALSE,NA,H8
9_1,9,1,fecal,mouse,male,1,4,Protocol 1,21.5,TRUE,TRUE,TRUE,TRUE,NA,F12
9_2,9,2,fecal,mouse,male,1,4,Protocol 2,6.89059999999999,TRUE,TRUE,TRUE,TRUE,NA,E3
9_3,9,3,fecal,mouse,male,1,4,Protocol 1,22.6,TRUE,TRUE,TRUE,TRUE,NA,E8
9_4,9,4,fecal,mouse,male,1,4,Protocol 2,5.949,TRUE,TRUE,TRUE,TRUE,NA,A11
10_1,10,1,fecal,mouse,male,1,4,Protocol 1,21.3,TRUE,TRUE,TRUE,TRUE,NA,B4
10_2,10,2,fecal,mouse,male,1,4,Protocol 2,7.3401,TRUE,TRUE,TRUE,TRUE,NA,B2
10_3,10,3,fecal,mouse,male,1,4,Protocol 1,21.9,TRUE,TRUE,TRUE,TRUE,NA,B9
10_4,10,4,fecal,mouse,male,1,4,Protocol 2,7.3251,TRUE,TRUE,TRUE,TRUE,NA,G4
11_1,11,1,fecal,mouse,male,1,4,Protocol 1,22.4,TRUE,TRUE,TRUE,TRUE,NA,G11
11_2,11,2,fecal,mouse,male,1,4,Protocol 2,6.8657,TRUE,TRUE,TRUE,TRUE,NA,G5
11_3,11,3,fecal,mouse,male,1,4,Protocol 1,16.4,TRUE,TRUE,TRUE,TRUE,NA,F10
11_4,11,4,fecal,mouse,male,1,4,Protocol 2,6.35059999999999,TRUE,TRUE,TRUE,TRUE,NA,B1
12_1,12,1,fecal,mouse,male,1,4,Protocol 1,17.6,TRUE,TRUE,TRUE,TRUE,NA,B8
12_2,12,2,fecal,mouse,male,1,4,Protocol 2,4.3571,TRUE,TRUE,TRUE,TRUE,NA,A12
13_1,13,1,T. mobilis,"NA","NA",2,2,Protocol 1,17.7,TRUE,TRUE,TRUE,TRUE,NA,C9
13_2,13,2,T. mobilis,"NA","NA",2,2,Protocol 2,13.6,TRUE,TRUE,TRUE,TRUE,NA,F4
14_1,14,1,inoculum,"NA","NA",2,4,Protocol 1,0.9255,TRUE,TRUE,TRUE,TRUE,NA,C6
