Well,Row,Column,Sample Name,ng/uL
A1,A,1,5_1,21.9
B1,B,1,11_4,6.3506
C1,C,1,19_1,7.406
D1,D,1,5_2,7.7403
E1,E,1,6_4,6.204
F1,F,1,14_2,8.401
G1,G,1,6_1,32.3
H1,H,1,26_1,0.6854
A2,A,2,4_3,0.1962
B2,B,2,10_2,7.3401
C2,C,2,16_3,1.141
D2,D,2,16_4,9.611
E2,E,2,5_4,8.074
F2,F,2,16_1,1.103
G2,G,2,25_1,0.2868
H2,H,2,18_2,8.129
A3,A,3,2_3,0.2609
B3,B,3,7_3,24.3
C3,C,3,5_3,26.1
D3,D,3,21_4,17.1
E3,E,3,9_2,6.8906
F3,F,3,7_4,6.7461
G3,G,3,2_4,0.9978
H3,H,3,3_3,0.2944
A4,A,4,17_3,10.3
B4,B,4,10_1,21.3
C4,C,4,1_1,0.2785
D4,D,4,26_2,6.896
E4,E,4,22_4,9.863
F4,F,4,13_2,13.6
G4,G,4,10_4,7.3251
H4,H,4,22_3,19.9
A5,A,5,7_2,5.7073
B5,B,5,17_2,5.839
C5,C,5,20_1,17.1
D5,D,5,20_2,9.269
E5,E,5,2_2,1.1587
F5,F,5,4_2,0.6554
G5,G,5,11_2,6.8657
H5,H,5,8_3,19.9
A6,A,6,24_2,8.645
B6,B,6,21_3,19.9
C6,C,6,14_1,0.9255
D6,D,6,19_4,7.96
E6,E,6,19_2,8.373
F6,F,6,8_2,4.0927
G6,G,6,6_2,8.4233
H6,H,6,20_4,5.753
A7,A,7,26_4,5.954
B7,B,7,25_2,7.261
C7,C,7,4_1,0.1558
D7,D,7,14_3,0.7367
E7,E,7,14_4,7.575
F7,F,7,23_1,8.999
G7,G,7,2_1,0.283
H7,H,7,23_4,7.671
A8,A,8,15_1,0.4654
B8,B,8,12_1,17.6
C8,C,8,18_3,11.19
D8,D,8,26_3,0.1722
E8,E,8,9_3,22.6
F8,F,8,17_1,9.917
G8,G,8,15_4,4.139
H8,H,8,8_4,4.6797
A9,A,9,24_1,10.4
B9,B,9,10_3,21.9
C9,C,9,13_1,17.7
D9,D,9,19_3,7.682
E9,E,9,16_2,8.372
F9,F,9,1_2,0.9576
G9,G,9,22_1,17.2
H9,H,9,23_3,8.227
A10,A,10,15_2,6.489
B10,B,10,8_1,21.8
C10,C,10,6_3,22.1
D10,D,10,3_1,0.238
E10,E,10,3_4,0.917
F10,F,10,11_3,16.4
G10,G,10,21_1,19.3
H10,H,10,20_3,16.7
A11,A,11,9_4,5.949
B11,B,11,4_4,0.797
C11,C,11,23_2,6.286
D11,D,11,22_2,10.3
E11,E,11,21_2,11.3
F11,F,11,17_4,7.148
G11,G,11,11_1,22.4
H11,H,11,1_3,0.3571
A12,A,12,12_2,4.3571
B12,B,12,18_4,7.092
C12,C,12,15_3,0.5021
D12,D,12,18_1,11.18
E12,E,12,3_2,0.8068
F12,F,12,9_1,21.5
G12,G,12,7_1,23.3
H12,H,12,1_4,1.1852
