Submission Type,Plate ID,Plate ID Validation,Sample #,Sample ID,Sample ID Validation,Well,Sample Type,Sample Source,specimen_type,extraction_protocol,extraction_batch,host_sex
DNA in Plate,1,Valid,1,5_1,Valid,A01,DNA,mouse,fecal,1,1,female
DNA in Plate,1,Valid,2,11_4,Valid,B01,DNA,mouse,fecal,2,1,male
DNA in Plate,1,Valid,3,19_1,Valid,C01,DNA,mouse,fecal,1,2,female
DNA in Plate,1,Valid,4,5_2,Valid,D01,DNA,mouse,fecal,2,1,female
DNA in Plate,1,Valid,5,6_4,Valid,E01,DNA,mouse,fecal,2,1,female
DNA in Plate,1,Valid,6,14_2,Valid,F01,DNA,mixed bacterial cultures,inoculum,2,2,NA
DNA in Plate,1,Valid,7,6_1,Valid,G01,DNA,mouse,fecal,1,1,female
DNA in Plate,1,Valid,8,26_1,Valid,H01,DNA,mixed bacterial cultures,inoculum,1,2,NA
DNA in Plate,1,Valid,9,4_3,Valid,A02,DNA,mixed bacterial cultures,inoculum,1,1,NA
DNA in Plate,1,Valid,10,10_2,Valid,B02,DNA,mouse,fecal,2,1,male
DNA in Plate,1,Valid,11,16_3,Valid,C02,DNA,mixed bacterial cultures,inoculum,1,2,NA
DNA in Plate,1,Valid,12,16_4,Valid,D02,DNA,mixed bacterial cultures,inoculum,2,2,NA
DNA in Plate,1,Valid,13,5_4,Valid,E02,DNA,mouse,fecal,2,1,female
DNA in Plate,1,Valid,14,16_1,Valid,F02,DNA,mixed bacterial cultures,inoculum,1,2,NA
DNA in Plate,1,Valid,15,25_1,Valid,G02,DNA,mixed bacterial cultures,inoculum,1,2,NA
DNA in Plate,1,Valid,16,18_2,Valid,H02,DNA,mouse,fecal,2,2,female
DNA in Plate,1,Valid,17,2_3,Valid,A03,DNA,mixed bacterial cultures,inoculum,1,1,NA
DNA in Plate,1,Valid,18,7_3,Valid,B03,DNA,mouse,fecal,1,1,female
DNA in Plate,1,Valid,19,5_3,Valid,C03,DNA,mouse,fecal,1,1,female
DNA in Plate,1,Valid,20,21_4,Valid,D03,DNA,mouse,fecal,2,2,male
DNA in Plate,1,Valid,21,9_2,Valid,E03,DNA,mouse,fecal,2,1,male
DNA in Plate,1,Valid,22,7_4,Valid,F03,DNA,mouse,fecal,2,1,female
DNA in Plate,1,Valid,23,2_4,Valid,G03,DNA,mixed bacterial cultures,inoculum,2,1,NA
DNA in Plate,1,Valid,24,3_3,Valid,H03,DNA,mixed bacterial cultures,inoculum,1,1,NA
DNA in Plate,1,Valid,25,17_3,Valid,A04,DNA,mouse,fecal,1,2,female
DNA in Plate,1,Valid,26,10_1,Valid,B04,DNA,mouse,fecal,1,1,male
DNA in Plate,1,Valid,27,1_1,Valid,C04,DNA,bacterial culture,T. mobilis,1,1,NA
DNA in Plate,1,Valid,28,26_2,Valid,D04,DNA,mixed bacterial cultures,inoculum,2,2,NA
DNA in Plate,1,Valid,29,22_4,Valid,E04,DNA,mouse,fecal,2,2,male
