dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,protocol,dna_conc,well,A2,A1,S2,S1
1_1,1,1,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,P1,0.2785,C4,TRUE,TRUE,TRUE,TRUE
1_2,1,2,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,P2,0.9576,F9,TRUE,TRUE,TRUE,TRUE
1_3,1,3,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,P1,0.3571,H11,TRUE,FALSE,FALSE,FALSE
1_4,1,4,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,P2,1.1852,H12,TRUE,FALSE,FALSE,FALSE
2_1,2,1,inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,P1,0.283,G7,TRUE,TRUE,TRUE,TRUE
2_2,2,2,inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,P2,1.1587,E5,TRUE,TRUE,TRUE,TRUE
2_3,2,3,inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,P1,0.2609,A3,TRUE,TRUE,TRUE,TRUE
2_4,2,4,inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,P2,0.9978,G3,TRUE,TRUE,TRUE,TRUE
3_1,3,1,inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,P1,0.238,D10,TRUE,TRUE,TRUE,TRUE
3_2,3,2,inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,P2,0.8068,E12,TRUE,TRUE,TRUE,TRUE
3_3,3,3,inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,P1,0.2944,H3,TRUE,TRUE,TRUE,TRUE
3_4,3,4,inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,P2,0.917,E10,TRUE,TRUE,TRUE,TRUE
