type,organism,genus,species,strain,desai_source,desai_identifier,phylum,copy_number,accession_16s,accession_genome,url,notes
inoculum,"Collinsella aerofaciens: DSM 3979, type strain",Collinsella,aerofaciens,"DSM 3979, type strain",DSMZ,Cat#DSM 3979,Actinobacteria,6,AB011816,NZ_AAVN00000000,https://www.dsmz.de/collection/catalogue/details/culture/DSM-3979,WGS record AAVN02000000 from https://www.atcc.org/products/all/25986.aspx; 16s gene accession from comment in that file
inoculum,"Bacteroides caccae: DSM 19024, type strain",Bacteroides,caccae,"DSM 19024, type strain",DSMZ,Cat#DSM 19024,Bacteroidetes,NA,AB510697,NA,https://www.ncbi.nlm.nih.gov/nuccore/AB510697,NA
inoculum,"Bacteroides ovatus: DSM 1896, type strain",Bacteroides,ovatus,"DSM 1896, type strain",DSMZ,Cat#DSM 1896,Bacteroidetes,4,EU136682,NZ_FNQD00000000,https://www.dsmz.de/collection/catalogue/details/culture/DSM-1896,NA
inoculum,"Bacteroides thetaiotaomicron: DSM 2079, type strain",Bacteroides,thetaiotaomicron,"DSM 2079, type strain",DSMZ,Cat#DSM 2079,Bacteroidetes,NA,NA,NC_004663,https://www.dsmz.de/collection/catalogue/details/culture/DSM-2079,other whole genome AE015928 which the DSM page incorrectly lists as a 16s sequence
inoculum,"Bacteroides uniformis: ATCC 8492, type strain",Bacteroides,uniformis,"ATCC 8492, type strain",ATCC,Cat#ATCC 8492,Bacteroidetes,4,NA,NZ_AAYH00000000,https://www.ncbi.nlm.nih.gov/nuccore/NZ_AAYH00000000.2,NA
inoculum,Barnesiella intestinihominis: YIT11860,Barnesiella,intestinihominis,YIT11860,DSMZ,Cat#DSM 21032,Bacteroidetes,4,AB370251,NZ_ADLE00000000,https://www.dsmz.de/collection/catalogue/details/culture/DSM-21032,NA
inoculum,"Clostridium symbiosum: DSM 934, type strain, 2",Clostridium,symbiosum,"DSM 934, type strain, 2",DSMZ,Cat#DSM 934,Firmicutes,NA,HM245954,NZ_ADLQ00000000,https://www.dsmz.de/collection/catalogue/details/culture/DSM-934,16s seq is only ~50% complete; Genome is of [Clostridium] symbiosum WAL-14163
inoculum,"Eubacterium rectale: DSM 17629, A1-86",Eubacterium,rectale,"DSM 17629, A1-86",DSMZ,Cat#DSM 17629,Firmicutes,NA,AJ270475,NA,https://www.dsmz.de/collection/catalogue/details/culture/DSM-17629,homotypic genbank synonym: Agathobacter rectalis
inoculum,"Faecalibacterium prausnitzii: DSM 17677, A2-165",Faecalibacterium,prausnitzii,"DSM 17677, A2-165",DSMZ,Cat#DSM 17677,Firmicutes,6,NA,NZ_CP022479,https://www.dsmz.de/collection/catalogue/details/culture/DSM-17677,NA
inoculum,"Marvinbryantia formatexigens: DSM 14469, type strain, I-52",Marvinbryantia,formatexigens,"DSM 14469, type strain, I-52",DSMZ,Cat#DSM 14469,Firmicutes,NA,NR_042152,NA,https://www.dsmz.de/collection/catalogue/details/culture/DSM-14469,NA
inoculum,"Roseburia intestinalis: DSM 14610 type strain, L1-82",Roseburia,intestinalis,"DSM 14610 type strain, L1-82",DSMZ,Cat#DSM 14610,Firmicutes,NA,AJ312385,NZ_ABYJ00000000,https://www.dsmz.de/collection/catalogue/details/culture/DSM-14610,NA
inoculum,Escherichia coli: HS,Escherichia,coli,HS,ATCC,"NA",Proteobacteria,7,NA,NC_009800,https://www.ncbi.nlm.nih.gov/nuccore/NC_009800.1,NA
positive control,Thioflavicoccus mobilis: 8321,Thioflavicoccus,mobilis,8321,"NA","NA",Proteobacteria,2,NR_102479,NC_019940,https://www.ncbi.nlm.nih.gov/assembly/GCF_000327045.1/,Has a plasmid that we could also map against (NC_019941)
inoculum,"Akkermansia muciniphila: DSM 22959, type strain",Akkermansia,muciniphila,"DSM 22959, type strain",DSMZ,Cat#DSM 22959,Verrucomicrobia,NA,AY271254,NA,https://www.ncbi.nlm.nih.gov/nuccore/AY271254,fixed typo DMS -> DSM
